Attaching to apps_proxy_1, apps_arachni_1, apps_webgoat_1
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:58:45 +0000] "GET /WebGoat/ HTTP/1.1" 302 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:58:46 +0000] "GET /WebGoat/login.mvc HTTP/1.1" 200 3194 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:58:46 +0000] "GET /WebGoat/css/main.css HTTP/1.1" 200 19986 "http://webgoat.cyexc-target/WebGoat/login.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:58:46 +0000] "GET /WebGoat/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 99961 "http://webgoat.cyexc-target/WebGoat/login.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:58:46 +0000] "GET /WebGoat/css/animate.css HTTP/1.1" 200 59837 "http://webgoat.cyexc-target/WebGoat/login.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:58:46 +0000] "GET /WebGoat/css/font-awesome.min.css HTTP/1.1" 200 17780 "http://webgoat.cyexc-target/WebGoat/login.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:58:46 +0000] "GET /WebGoat/images/favicon.ico HTTP/1.1" 404 1003 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:58:46 +0000] "GET /WebGoat/css/img/logoBG.jpg HTTP/1.1" 200 17885 "http://webgoat.cyexc-target/WebGoat/css/main.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:01 +0000] "POST /WebGoat/j_spring_security_check;jsessionid=4D485A136B106FDBB5B40A7F3AD16BFE HTTP/1.1" 302 0 "http://webgoat.cyexc-target/WebGoat/login.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:04 +0000] "GET /WebGoat/welcome.mvc HTTP/1.1" 302 0 "http://webgoat.cyexc-target/WebGoat/login.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:05 +0000] "GET /WebGoat/start.mvc HTTP/1.1" 200 15942 "http://webgoat.cyexc-target/WebGoat/login.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:05 +0000] "GET /WebGoat/js/modernizr-2.6.2.min.js HTTP/1.1" 200 15414 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:05 +0000] "GET /WebGoat/js/libs/require.min.js HTTP/1.1" 200 15291 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:05 +0000] "GET /WebGoat/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 200 44432 "http://webgoat.cyexc-target/WebGoat/css/font-awesome.min.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
