Attaching to target_proxy_1, target_webapp_1
[36mproxy_1   |[0m 192.168.33.1 - - [19/Jan/2018:04:45:56 +0000] "GET /struts2-showcase-2.3.12/styles/bootstrap.css HTTP/1.1" 304 0 "http://target.cyexc-target/struts2-showcase-2.3.12/index.action" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1   |[0m 192.168.33.1 - - [19/Jan/2018:04:45:56 +0000] "GET /struts2-showcase-2.3.12/styles/main.css HTTP/1.1" 304 0 "http://target.cyexc-target/struts2-showcase-2.3.12/index.action" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1   |[0m 192.168.33.1 - - [19/Jan/2018:04:45:56 +0000] "GET /struts2-showcase-2.3.12/styles/bootstrap-responsive.css HTTP/1.1" 304 0 "http://target.cyexc-target/struts2-showcase-2.3.12/index.action" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1   |[0m 192.168.33.1 - - [19/Jan/2018:04:45:56 +0000] "GET /struts2-showcase-2.3.12/styles/prettify.css HTTP/1.1" 304 0 "http://target.cyexc-target/struts2-showcase-2.3.12/index.action" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1   |[0m 192.168.33.1 - - [19/Jan/2018:04:45:56 +0000] "GET /struts2-showcase-2.3.12/js/jquery-1.8.2.min.js HTTP/1.1" 304 0 "http://target.cyexc-target/struts2-showcase-2.3.12/index.action" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1   |[0m 192.168.33.1 - - [19/Jan/2018:04:45:56 +0000] "GET /struts2-showcase-2.3.12/js/prettify.js HTTP/1.1" 304 0 "http://target.cyexc-target/struts2-showcase-2.3.12/index.action" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1   |[0m 192.168.33.1 - - [19/Jan/2018:04:45:56 +0000] "GET /struts2-showcase-2.3.12/js/bootstrap.min.js HTTP/1.1" 304 0 "http://target.cyexc-target/struts2-showcase-2.3.12/index.action" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1   |[0m 192.168.33.1 - - [19/Jan/2018:04:45:56 +0000] "GET /struts2-showcase-2.3.12/struts/utils.js HTTP/1.1" 200 4782 "http://target.cyexc-target/struts2-showcase-2.3.12/index.action" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1   |[0m 192.168.33.1 - - [19/Jan/2018:04:45:56 +0000] "GET /struts2-showcase-2.3.12/img/glyphicons-halflings.png HTTP/1.1" 304 0 "http://target.cyexc-target/struts2-showcase-2.3.12/styles/bootstrap.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1   |[0m 192.168.33.1 - - [19/Jan/2018:04:45:56 +0000] "GET /struts2-showcase-2.3.12/index.action HTTP/1.1" 200 11113 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1   |[0m 192.168.33.1 - - [19/Jan/2018:04:45:56 +0000] "GET /struts2-showcase-2.3.12/img/struts-power.gif HTTP/1.1" 304 0 "http://target.cyexc-target/struts2-showcase-2.3.12/index.action" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1   |[0m 2018/01/19 04:46:09 [error] 5#5: *18 upstream prematurely closed connection while reading upstream, client: 192.168.33.20, server: , request: "GET /struts2-showcase-2.3.12/index.action HTTP/1.1", upstream: "http://192.168.1.10:8080/struts2-showcase-2.3.12/index.action", host: "target.cyexc-target"
[36mproxy_1   |[0m 192.168.33.20 - - [19/Jan/2018:04:46:09 +0000] "GET /struts2-showcase-2.3.12/index.action HTTP/1.1" 200 1024 "-" "Mozilla/5.0" "-"
[36mproxy_1   |[0m 2018/01/19 04:46:36 [error] 5#5: *20 upstream prematurely closed connection while reading upstream, client: 192.168.33.20, server: , request: "GET /struts2-showcase-2.3.12/index.action HTTP/1.1", upstream: "http://192.168.1.10:8080/struts2-showcase-2.3.12/index.action", host: "target.cyexc-target"
[36mproxy_1   |[0m 192.168.33.20 - - [19/Jan/2018:04:46:36 +0000] "GET /struts2-showcase-2.3.12/index.action HTTP/1.1" 200 416 "-" "Mozilla/5.0" "-"
[36mproxy_1   |[0m 192.168.33.1 - - [19/Jan/2018:04:46:50 +0000] "GET /struts2-showcase-2.3.12/index.action HTTP/1.1" 200 11113 "-" "Bear/5767 CFNetwork/893.13.1 Darwin/17.3.0 (x86_64)" "-"
[36mproxy_1   |[0m 2018/01/19 04:47:30 [error] 5#5: *24 upstream prematurely closed connection while reading upstream, client: 192.168.33.20, server: , request: "GET /struts2-showcase-2.3.12/index.action HTTP/1.1", upstream: "http://192.168.1.10:8080/struts2-showcase-2.3.12/index.action", host: "target.cyexc-target"
[36mproxy_1   |[0m 192.168.33.20 - - [19/Jan/2018:04:47:30 +0000] "GET /struts2-showcase-2.3.12/index.action HTTP/1.1" 200 39 "-" "Mozilla/5.0" "-"
[36mproxy_1   |[0m 2018/01/19 04:47:53 [error] 5#5: *26 upstream prematurely closed connection while reading upstream, client: 192.168.33.20, server: , request: "GET /struts2-showcase-2.3.12/index.action HTTP/1.1", upstream: "http://192.168.1.10:8080/struts2-showcase-2.3.12/index.action", host: "target.cyexc-target"
[36mproxy_1   |[0m 192.168.33.20 - - [19/Jan/2018:04:47:53 +0000] "GET /struts2-showcase-2.3.12/index.action HTTP/1.1" 200 0 "-" "Mozilla/5.0" "-"
[36mproxy_1   |[0m 2018/01/19 04:48:15 [error] 5#5: *28 upstream prematurely closed connection while reading upstream, client: 192.168.33.20, server: , request: "GET /struts2-showcase-2.3.12/index.action HTTP/1.1", upstream: "http://192.168.1.10:8080/struts2-showcase-2.3.12/index.action", host: "target.cyexc-target"
[36mproxy_1   |[0m 192.168.33.20 - - [19/Jan/2018:04:48:15 +0000] "GET /struts2-showcase-2.3.12/index.action HTTP/1.1" 200 0 "-" "Mozilla/5.0" "-"
[36mproxy_1   |[0m 192.168.33.1 - - [19/Jan/2018:04:48:43 +0000] "GET /struts2-showcase-2.3.12/index.action HTTP/1.1" 200 11113 "-" "Bear/5767 CFNetwork/893.13.1 Darwin/17.3.0 (x86_64)" "-"
[36mproxy_1   |[0m 2018/01/19 04:48:54 [error] 5#5: *32 upstream prematurely closed connection while reading upstream, client: 192.168.33.20, server: , request: "GET /struts2-showcase-2.3.12/index.action HTTP/1.1", upstream: "http://192.168.1.10:8080/struts2-showcase-2.3.12/index.action", host: "target.cyexc-target"
[36mproxy_1   |[0m 192.168.33.20 - - [19/Jan/2018:04:48:54 +0000] "GET /struts2-showcase-2.3.12/index.action HTTP/1.1" 200 0 "-" "Mozilla/5.0" "-"
[36mproxy_1   |[0m 192.168.33.20 - - [19/Jan/2018:04:49:39 +0000] "GET /struts2-showcase-2.3.12/index.action HTTP/1.1" 200 13226 "-" "curl/7.35.0" "-"
[36mproxy_1   |[0m 2018/01/19 04:50:08 [error] 5#5: *36 upstream prematurely closed connection while reading upstream, client: 192.168.33.20, server: , request: "GET /struts2-showcase-2.3.12/index.action HTTP/1.1", upstream: "http://192.168.1.10:8080/struts2-showcase-2.3.12/index.action", host: "target.cyexc-target"
[36mproxy_1   |[0m 192.168.33.20 - - [19/Jan/2018:04:50:08 +0000] "GET /struts2-showcase-2.3.12/index.action HTTP/1.1" 200 1093 "-" "Mozilla/5.0" "-"
[36mproxy_1   |[0m 2018/01/19 04:50:17 [error] 5#5: *38 upstream prematurely closed connection while reading upstream, client: 192.168.33.20, server: , request: "GET /struts2-showcase-2.3.12/index.action HTTP/1.1", upstream: "http://192.168.1.10:8080/struts2-showcase-2.3.12/index.action", host: "target.cyexc-target"
[36mproxy_1   |[0m 192.168.33.20 - - [19/Jan/2018:04:50:17 +0000] "GET /struts2-showcase-2.3.12/index.action HTTP/1.1" 200 0 "-" "Mozilla/5.0" "-"
[36mproxy_1   |[0m 192.168.33.20 - - [19/Jan/2018:04:50:39 +0000] "GET /struts2-showcase-2.3.12/index.action HTTP/1.1" 302 0 "-" "Mozilla/5.0" "-"
[36mproxy_1   |[0m 192.168.33.20 - - [19/Jan/2018:04:50:39 +0000] "GET /struts2-showcase-2.3.12/showcase.action HTTP/1.1" 200 13226 "http://target.cyexc-target/struts2-showcase-2.3.12/index.action" "Mozilla/5.0" "-"
[36mproxy_1   |[0m 2018/01/19 04:50:59 [error] 5#5: *44 upstream prematurely closed connection while reading upstream, client: 192.168.33.20, server: , request: "GET /struts2-showcase-2.3.12/index.action HTTP/1.1", upstream: "http://192.168.1.10:8080/struts2-showcase-2.3.12/index.action", host: "target.cyexc-target"
[36mproxy_1   |[0m 192.168.33.20 - - [19/Jan/2018:04:50:59 +0000] "GET /struts2-showcase-2.3.12/index.action HTTP/1.1" 200 1093 "-" "Mozilla/5.0" "-"
[36mproxy_1   |[0m 192.168.33.1 - - [19/Jan/2018:04:51:21 +0000] "GET /struts2-showcase-2.3.12/index.action HTTP/1.1" 200 11113 "-" "Bear/5767 CFNetwork/893.13.1 Darwin/17.3.0 (x86_64)" "-"
[36mproxy_1   |[0m 2018/01/19 04:53:18 [error] 5#5: *48 upstream prematurely closed connection while reading upstream, client: 192.168.33.20, server: , request: "GET /struts2-showcase-2.3.12/index.action HTTP/1.1", upstream: "http://192.168.1.10:8080/struts2-showcase-2.3.12/index.action", host: "target.cyexc-target"
[36mproxy_1   |[0m 192.168.33.20 - - [19/Jan/2018:04:53:18 +0000] "GET /struts2-showcase-2.3.12/index.action HTTP/1.1" 200 0 "-" "Mozilla/5.0" "-"
